実行日時,対象開始日時,対象終了日時,日付,シフト,ライン,設備ID,設備名,サイクルタイム_分,計画時間_分,想定停止時間_分,想定稼働時間_分,想定稼働率_%,実停止時間_分,稼働時間_分,実績稼働率_%,停止理由,生産数,不良数
2026-09-01 00:16:44,2026-08-31 18:00:00,2026-09-01 00:00:00,2026-09-01,夜勤,Line-A,MC-001,切断機,25,315,25,290,92.1,20,295,93.7,清掃,11,0
2026-09-01 00:16:44,2026-08-31 18:00:00,2026-09-01 00:00:00,2026-09-01,夜勤,Line-A,MC-002,加工機,36,315,31,284,90.2,113,202,64.1,設備異常,5,0
2026-09-01 00:16:44,2026-08-31 18:00:00,2026-09-01 00:00:00,2026-09-01,夜勤,Line-B,MC-003,検査機,20,315,15,300,95.2,112,203,64.4,設備異常,10,0
2026-09-01 00:16:44,2026-08-31 18:00:00,2026-09-01 00:00:00,2026-09-01,夜勤,Line-B,MC-004,包装機,15,315,22,293,93.0,97,218,69.2,設備異常,14,0
2026-09-01 00:16:44,2026-08-31 18:00:00,2026-09-01 00:00:00,2026-09-01,夜勤,Line-C,MC-005,組立機,20,315,37,278,88.3,13,302,95.9,清掃,15,0
2026-09-01 00:16:44,2026-08-31 18:00:00,2026-09-01 00:00:00,2026-09-01,夜勤,Line-C,MC-006,圧着機,22,315,28,287,91.1,26,289,91.7,段取り替え,13,0
2026-09-01 08:10:34,2026-09-01 00:00:00,2026-09-01 06:00:00,2026-09-01,昼勤,Line-A,MC-001,切断機,25,315,25,290,92.1,8,307,97.5,なし,12,0
2026-09-01 08:10:34,2026-09-01 00:00:00,2026-09-01 06:00:00,2026-09-01,昼勤,Line-A,MC-002,加工機,36,315,31,284,90.2,34,281,89.2,材料待ち,7,0
2026-09-01 08:10:34,2026-09-01 00:00:00,2026-09-01 06:00:00,2026-09-01,昼勤,Line-B,MC-003,検査機,20,315,15,300,95.2,30,285,90.5,清掃,14,0
2026-09-01 08:10:34,2026-09-01 00:00:00,2026-09-01 06:00:00,2026-09-01,昼勤,Line-B,MC-004,包装機,15,315,22,293,93.0,4,311,98.7,なし,20,0
